Country,Year,HIV/AIDS
Japan,2007,225
Japan,2008,205
Japan,2009,201
Japan,2010,215
Japan,2012,206
Japan,2013,209
Japan,2014,186
Japan,2015,197
Japan,2016,189
Japan,1990,68
Japan,1991,76
Japan,1992,77
Japan,1993,78
Japan,1994,87
Japan,1995,172
Japan,1996,180
Japan,1997,196
Japan,1998,177
Japan,1999,172
Japan,2000,161
Japan,2001,180
Japan,2002,173
Japan,2003,191
Japan,2004,188
Japan,2005,203
Japan,2006,207
Japan,2011,210
Japan,2017,180
Japan,2018,170
Japan,2019,161
